structure_id,conf_symbol,mixing_energy_pa,Ti,Al,Nb
ICET-Training-No-14597,AlNb3Ti2,-0.15157195999999948,0.3333,0.1667,0.5
ICET-Training-No-14598,AlNb4Ti,-0.0973084816666668,0.1667,0.1667,0.6667
ICET-Training-No-14801,Al2Nb3Ti,-0.2715983383333338,0.1667,0.3333,0.5
ICET-Training-No-14845,AlNb4Ti,-0.09748089500000034,0.1667,0.1667,0.6667
ICET-Training-No-14889,AlNb4Ti,-0.06986702000000022,0.1667,0.1667,0.6667
ICET-Training-No-14902,AlNb5,-0.05104960666666732,0.0,0.1667,0.8333
ICET-Training-No-15211,NbTi5,-0.01569525833333311,0.8333,0.0,0.1667
ICET-Training-No-15214,Nb2Ti4,-0.020310431666666535,0.6667,0.0,0.3333
ICET-Training-No-15220,Nb2Ti4,-0.019783071666667002,0.6667,0.0,0.3333
ICET-Training-No-15223,Nb3Ti3,-0.019934416666666028,0.5,0.0,0.5
ICET-Training-No-15246,Nb3Ti3,-0.011184130000000181,0.5,0.0,0.5
ICET-Training-No-15257,Nb4Ti2,-0.006084228333333404,0.3333,0.0,0.6667
ICET-Training-No-15321,Nb4Ti2,-0.00654647333333358,0.3333,0.0,0.6667
ICET-Training-No-15349,Nb5Ti,0.003721488333332227,0.1667,0.0,0.8333
ICET-Training-No-15615,Al5Ti,-0.29465692166666696,0.1667,0.8333,0.0
ICET-Training-No-15616,Al5Nb,-0.2331948233333332,0.0,0.8333,0.1667
ICET-Training-No-15619,Al4Ti2,-0.4401903916666659,0.3333,0.6667,0.0
ICET-Training-No-15623,Al4Nb2,-0.3946840750000007,0.0,0.6667,0.3333
ICET-Training-No-15633,Al3Ti3,-0.4261033233333329,0.5,0.5,0.0
ICET-Training-No-15634,Al3NbTi2,-0.42587446166666726,0.3333,0.5,0.1667
ICET-Training-No-15649,Al4Nb2,-0.40777348000000063,0.0,0.6667,0.3333
ICET-Training-No-15655,Al3Nb3,-0.32223200166666643,0.0,0.5,0.5
ICET-Training-No-15701,Al2Ti4,-0.40133012833333365,0.6667,0.3333,0.0
ICET-Training-No-15702,Al2NbTi3,-0.3548269183333339,0.5,0.3333,0.1667
ICET-Training-No-15706,Al2Nb2Ti2,-0.3079274100000002,0.3333,0.3333,0.3333
ICET-Training-No-15784,Al2Nb2Ti2,-0.3326614983333336,0.3333,0.3333,0.3333
ICET-Training-No-15787,Al2Nb3Ti,-0.28945775833333326,0.1667,0.3333,0.5
ICET-Training-No-15800,Al2Nb4,-0.2431222383333337,0.0,0.3333,0.6667
ICET-Training-No-15888,Al2Ti4,-0.28086454833333363,0.6667,0.3333,0.0
ICET-Training-No-15904,Al3Nb2Ti,-0.41407810666666595,0.1667,0.5,0.3333
ICET-Training-No-15946,AlTi5,-0.17352425666666585,0.8333,0.1667,0.0
ICET-Training-No-15951,AlNb2Ti3,-0.19812002166666667,0.5,0.1667,0.3333
ICET-Training-No-16040,AlNb3Ti2,-0.1674530599999997,0.3333,0.1667,0.5
ICET-Training-No-16057,AlNb3Ti2,-0.12471525333333251,0.3333,0.1667,0.5
ICET-Training-No-16264,Al2Nb4,-0.2512274200000005,0.0,0.3333,0.6667
ICET-Training-No-16288,AlNb2Ti3,-0.2188288483333333,0.5,0.1667,0.3333
ICET-Training-No-16302,AlNb3Ti2,-0.1729517499999993,0.3333,0.1667,0.5
ICET-Training-No-16305,AlNb4Ti,-0.1321628549999995,0.1667,0.1667,0.6667
ICET-Training-No-16349,AlNb4Ti,-0.15924108333333345,0.1667,0.1667,0.6667
ICET-Training-No-16362,AlNb5,-0.10112676166666645,0.0,0.1667,0.8333
ICET-Training-No-16671,NbTi5,-0.008288748333332782,0.8333,0.0,0.1667
ICET-Training-No-16674,Nb2Ti4,-0.02104254333333344,0.6667,0.0,0.3333
ICET-Training-No-16680,Nb2Ti4,-0.012224393333333694,0.6667,0.0,0.3333
ICET-Training-No-16683,Nb3Ti3,0.007189738333333177,0.5,0.0,0.5
ICET-Training-No-16706,Nb3Ti3,-0.013106238333333428,0.5,0.0,0.5
ICET-Training-No-16717,Nb4Ti2,0.00848930166666643,0.3333,0.0,0.6667
ICET-Training-No-16781,Nb4Ti2,-0.0024025383333328896,0.3333,0.0,0.6667
ICET-Training-No-16809,Nb5Ti,0.0030633233333325904,0.1667,0.0,0.8333
ICET-Training-No-17075,AlTi6,-0.18405331571428515,0.8571,0.1429,0.0
ICET-Training-No-17359,Al3Ti4,-0.4480434528571432,0.5714,0.4286,0.0
ICET-Training-No-18365,Al4Ti3,-0.4351736328571424,0.4286,0.5714,0.0
ICET-Training-No-18366,Al3NbTi3,-0.40553207285714266,0.4286,0.4286,0.1429
ICET-Training-No-18382,Al4NbTi2,-0.3836299600000004,0.2857,0.5714,0.1429
ICET-Training-No-18397,Al3Nb2Ti2,-0.35632640999999915,0.2857,0.4286,0.2857
ICET-Training-No-18400,Al3Nb2Ti2,-0.36386778428571426,0.2857,0.4286,0.2857
ICET-Training-No-18563,Al4NbTi2,-0.38833820428571436,0.2857,0.5714,0.1429
ICET-Training-No-18617,Al6Ti,-0.10331644285714299,0.1429,0.8571,0.0
ICET-Training-No-18711,Al4Nb2Ti,-0.3329517100000002,0.1429,0.5714,0.2857
ICET-Training-No-18957,Al3Nb2Ti2,-0.3556081942857138,0.2857,0.4286,0.2857
ICET-Training-No-19034,Al4Nb2Ti,-0.32313451000000065,0.1429,0.5714,0.2857
ICET-Training-No-19049,Al3Nb3Ti,-0.3115923699999996,0.1429,0.4286,0.4286
ICET-Training-No-19052,Al3Nb3Ti,-0.3134344000000005,0.1429,0.4286,0.4286
ICET-Training-No-19053,Al2Nb4Ti,-0.19038720285714358,0.1429,0.2857,0.5714
ICET-Training-No-19119,Al2Nb4Ti,-0.18547214571428583,0.1429,0.2857,0.5714
ICET-Training-No-19133,Al2Nb4Ti,-0.18743795000000013,0.1429,0.2857,0.5714
ICET-Training-No-19136,Al2Nb4Ti,-0.1947720157142864,0.1429,0.2857,0.5714
ICET-Training-No-20198,Al2Nb4Ti,-0.17771827571428592,0.1429,0.2857,0.5714
ICET-Training-No-20209,Al2Nb4Ti,-0.17895086428571513,0.1429,0.2857,0.5714
ICET-Training-No-21786,Al4Nb3,-0.27010583857142884,0.0,0.5714,0.4286
ICET-Training-No-21789,Al3Nb4,-0.1621923842857151,0.0,0.4286,0.5714
ICET-Training-No-21824,Al3Nb4,-0.1779591942857144,0.0,0.4286,0.5714
ICET-Training-No-22979,Al2Ti5,-0.2974307542857143,0.7143,0.2857,0.0
ICET-Training-No-23033,Al3Ti4,-0.3447068999999995,0.5714,0.4286,0.0
ICET-Training-No-23239,Al3Ti4,-0.3737083614285715,0.5714,0.4286,0.0
ICET-Training-No-23249,Al3Ti4,-0.41180220428571446,0.5714,0.4286,0.0
ICET-Training-No-23253,Al4Ti3,-0.39712281571428526,0.4286,0.5714,0.0
ICET-Training-No-23257,Al3NbTi3,-0.3788943885714287,0.4286,0.4286,0.1429
ICET-Training-No-23332,Al4Ti3,-0.4435451471428564,0.4286,0.5714,0.0
ICET-Training-No-23370,Al4NbTi2,-0.384954698571429,0.2857,0.5714,0.1429
ICET-Training-No-23371,Al3Nb2Ti2,-0.2819689399999997,0.2857,0.4286,0.2857
ICET-Training-No-23448,Al3Nb2Ti2,-0.3288838742857142,0.2857,0.4286,0.2857
ICET-Training-No-24255,Al4Ti3,-0.4802805157142852,0.4286,0.5714,0.0
ICET-Training-No-24256,Al3NbTi3,-0.42231285428571497,0.4286,0.4286,0.1429
ICET-Training-No-24265,Al3NbTi3,-0.35336934428571504,0.4286,0.4286,0.1429
ICET-Training-No-24268,Al5Ti2,-0.33840119714285777,0.2857,0.7143,0.0
ICET-Training-No-24272,Al4NbTi2,-0.4268233942857143,0.2857,0.5714,0.1429
ICET-Training-No-24273,Al3Nb2Ti2,-0.3103005828571424,0.2857,0.4286,0.2857
