x,y,gamma
0.23333,0.83333,0.01218
0.26667,0.83333,0.01474
0.3,0.83333,0.01727
0.33333,0.83333,0.01979
0.36667,0.83333,0.02213
0.4,0.83333,0.02414
0.43333,0.83333,0.02572
0.46667,0.83333,0.02686
0.5,0.83333,0.0276
0.53333,0.83333,0.02804
0.56667,0.83333,0.02824
0.6,0.83333,0.02824
0.63333,0.83333,0.02804
0.66667,0.83333,0.0276
0.7,0.83333,0.02686
0.73333,0.83333,0.02572
0.76667,0.83333,0.02414
0.8,0.83333,0.02213
0.83333,0.83333,0.01979
0.86667,0.83333,0.01727
0.9,0.83333,0.01474
0.93333,0.83333,0.01218
0.96667,0.83333,0.00979
0.0,0.86667,0.0053
0.03333,0.86667,0.00418
0.06667,0.86667,0.00379
0.1,0.86667,0.00418
0.13333,0.86667,0.0053
0.16667,0.86667,0.00709
0.2,0.86667,0.00944
0.23333,0.86667,0.01209
0.26667,0.86667,0.0147
0.3,0.86667,0.01727
0.33333,0.86667,0.01979
0.36667,0.86667,0.02208
0.4,0.86667,0.02398
0.43333,0.86667,0.02543
0.46667,0.86667,0.02645
0.5,0.86667,0.02709
0.53333,0.86667,0.02744
0.56667,0.86667,0.02755
0.6,0.86667,0.02744
0.63333,0.86667,0.02709
0.66667,0.86667,0.02645
0.7,0.86667,0.02543
0.73333,0.86667,0.02398
0.76667,0.86667,0.02208
0.8,0.86667,0.01979
0.83333,0.86667,0.01727
0.86667,0.86667,0.0147
0.9,0.86667,0.01209
0.93333,0.86667,0.00944
0.96667,0.86667,0.00709
0.0,0.9,0.00301
0.03333,0.9,0.00225
0.06667,0.9,0.00225
0.1,0.9,0.00301
0.13333,0.9,0.00449
0.16667,0.9,0.00665
0.2,0.9,0.00931
0.23333,0.9,0.01209
0.26667,0.9,0.01474
0.3,0.9,0.01732
0.33333,0.9,0.01978
0.36667,0.9,0.02193
0.4,0.9,0.02367
0.43333,0.9,0.02494
0.46667,0.9,0.0258
0.5,0.9,0.02632
0.53333,0.9,0.02656
0.56667,0.9,0.02656
0.6,0.9,0.02632
0.63333,0.9,0.0258
0.66667,0.9,0.02494
0.7,0.9,0.02367
0.73333,0.9,0.02193
0.76667,0.9,0.01978
0.8,0.9,0.01732
0.83333,0.9,0.01474
0.86667,0.9,0.01209
0.9,0.9,0.00931
0.93333,0.9,0.00665
0.96667,0.9,0.00449
0.0,0.93333,0.00132
0.03333,0.93333,0.00096
0.06667,0.93333,0.00132
0.1,0.93333,0.0024
0.13333,0.93333,0.00421
0.16667,0.93333,0.00665
0.2,0.93333,0.00944
0.23333,0.93333,0.01218
0.26667,0.93333,0.01483
0.3,0.93333,0.01737
0.33333,0.93333,0.01969
0.36667,0.93333,0.02165
0.4,0.93333,0.02315
0.43333,0.93333,0.0242
0.46667,0.93333,0.02488
0.5,0.93333,0.02525
0.53333,0.93333,0.02537
0.56667,0.93333,0.02525
0.6,0.93333,0.02488
0.63333,0.93333,0.0242
0.66667,0.93333,0.02315
0.7,0.93333,0.02165
0.73333,0.93333,0.01969
0.76667,0.93333,0.01737
0.8,0.93333,0.01483
0.83333,0.93333,0.01218
0.86667,0.93333,0.00944
0.9,0.93333,0.00665
0.93333,0.93333,0.00421
0.96667,0.93333,0.0024
0.0,0.96667,0.00033
0.03333,0.96667,0.00033
0.06667,0.96667,0.00101
0.1,0.96667,0.0024
0.13333,0.96667,0.00449
0.16667,0.96667,0.00709
0.2,0.96667,0.00979
0.23333,0.96667,0.0124
0.26667,0.96667,0.01493
0.3,0.96667,0.01733
0.33333,0.96667,0.01945
